iter	MAE
0	8.16548924
1	7.988330279
2	7.772073458
3	7.619887024
4	7.505352431
5	7.384065366
6	7.24635614
7	7.101760379
8	6.929903008
9	6.841751896
10	6.662328612
11	6.55963407
12	6.400467241
13	6.244413236
14	6.084795828
15	5.976332752
16	5.862940884
17	5.782107641
18	5.639620852
19	5.566978382
20	5.431132961
21	5.383170674
22	5.318462885
23	5.205155144
24	5.118999419
25	5.035805369
26	4.967765613
27	4.857375728
28	4.810801915
29	4.72197369
30	4.64905887
31	4.574893439
32	4.472430882
33	4.37330224
34	4.285220605
35	4.195090237
36	4.120731897
37	4.067669303
38	4.006904874
39	3.915103273
40	3.873095645
41	3.80103788
42	3.738289678
43	3.666563952
44	3.590482067
45	3.525506567
46	3.459416379
47	3.387045506
48	3.324355845
49	3.265681396
50	3.189286187
51	3.137127834
52	3.084142953
53	3.014259863
54	2.953375575
55	2.914879488
56	2.844949096
57	2.791167861
58	2.752972504
59	2.705670475
60	2.66087698
61	2.619319703
62	2.575747171
63	2.525569147
64	2.498290203
65	2.43961178
66	2.402285191
67	2.362067213
68	2.309759274
69	2.263334048
70	2.229171129
71	2.197196021
72	2.148387137
73	2.102978179
74	2.079160926
75	2.045167672
76	2.010997178
77	1.967448099
78	1.923756711
79	1.883807357
80	1.839147235
81	1.837922996
82	1.813453826
83	1.780100339
84	1.761731103
85	1.728767713
86	1.693789621
87	1.655452482
88	1.623014134
89	1.588749783
90	1.565928015
91	1.540969295
92	1.522223352
93	1.51002092
94	1.484843864
95	1.455866719
96	1.427486395
97	1.400876267
98	1.381785038
99	1.364915805
100	1.341904114
101	1.321100869
102	1.309626017
103	1.282279042
104	1.265861099
105	1.241884701
106	1.226078348
107	1.205358195
108	1.182355929
109	1.160128462
110	1.151606373
111	1.13332049
112	1.111020699
113	1.093990274
114	1.074978926
115	1.057244474
116	1.041811481
117	1.022354775
118	1.007779309
119	1.001743154
120	0.9837548026
121	0.9686580585
122	0.9514758385
123	0.9398180422
124	0.9238599762
125	0.9123583404
126	0.8983992729
127	0.8798283424
128	0.866228221
129	0.8524051717
130	0.8354018111
131	0.8215809951
132	0.8085820775
133	0.7953138171
134	0.781717449
135	0.7715603679
136	0.7624786537
137	0.7449237279
138	0.7314753919
139	0.7206724413
140	0.7096470424
141	0.6977063128
142	0.6862853949
143	0.6836996627
144	0.6717435107
145	0.659165965
146	0.644429479
147	0.6371657129
148	0.6293407449
149	0.6204774144
150	0.610811028
151	0.602995985
152	0.591077074
153	0.5833930666
154	0.580769562
155	0.5646156502
156	0.5556487521
157	0.5505978878
158	0.5429133217
159	0.5381764383
160	0.5329819529
161	0.5239085155
162	0.5172357438
163	0.5083568156
164	0.4997406693
165	0.4928130895
166	0.4859613991
167	0.4807920669
168	0.4727676444
169	0.4671270952
170	0.4610074619
171	0.4534443049
172	0.4466145731
173	0.4418321748
174	0.4358926537
175	0.4313765129
176	0.4262135656
177	0.4227291023
178	0.4184293022
179	0.4133931915
180	0.4086801688
181	0.402141663
182	0.3979604217
183	0.3912880403
184	0.3830006779
185	0.377965854
186	0.3732510471
187	0.3690171629
188	0.3649192831
189	0.3607386666
190	0.356235481
191	0.3478906503
192	0.343773951
193	0.3399496943
194	0.3377517269
195	0.3358364678
196	0.3330774263
197	0.3294593176
198	0.3266432204
199	0.3195147787
200	0.316667866
201	0.313353868
202	0.3094996098
203	0.3072236533
204	0.3026978973
205	0.3004639715
206	0.2980236767
207	0.2907859028
208	0.2881872694
209	0.2856205555
210	0.2831902934
211	0.2809038571
212	0.2786571354
213	0.2769433438
214	0.2746899109
215	0.2722669745
216	0.2699785964
217	0.2635035086
218	0.2611382723
219	0.2593113637
220	0.2532198206
221	0.2505697258
222	0.2485909517
223	0.2469515783
224	0.2461174089
225	0.2394769884
226	0.2344127218
227	0.2323770166
228	0.2308478229
229	0.2247939145
230	0.2232279996
231	0.2212557507
232	0.2193527886
233	0.2176432731
234	0.2160846345
235	0.2102375861
236	0.205621194
237	0.2036936098
238	0.2022494154
239	0.2003624658
240	0.1996164328
241	0.1947000643
242	0.192844275
243	0.191369948
244	0.1893772589
245	0.1883340566
246	0.1874229301
247	0.1860312385
248	0.1849583166
249	0.1799751225
250	0.1754495056
251	0.1709757832
252	0.1697910116
253	0.1688997775
254	0.1672821033
255	0.1660566498
256	0.1648679599
257	0.163815386
258	0.1626914434
259	0.161601219
260	0.1605437014
261	0.1595179093
262	0.1582561129
263	0.1570321705
