iter	Passed	Remaining
0	150	1509735
1	158	790896
2	167	558976
3	169	423908
4	171	343340
5	174	290120
6	179	256256
7	182	227679
8	185	206144
9	187	186923
10	191	174335
11	193	160924
12	196	151030
13	199	142332
14	202	134972
15	205	128213
16	208	122427
17	209	116108
18	212	111413
19	213	106571
20	215	102468
21	217	98509
22	219	95063
23	222	92289
24	223	89249
25	224	86240
26	227	84032
27	229	81727
28	230	79129
29	233	77568
30	235	75642
31	236	73795
32	238	72038
33	240	70597
34	242	69028
35	244	67729
36	246	66507
37	248	65151
38	250	64098
39	253	63176
40	254	61845
41	256	60771
42	257	59703
43	260	58914
44	264	58547
45	268	58015
46	270	57249
47	273	56700
48	275	55994
49	276	55120
50	281	54891
51	284	54345
52	285	53526
53	288	53073
54	290	52568
55	294	52239
56	298	51983
57	300	51534
58	302	50924
59	304	50497
60	307	50039
61	312	50021
62	315	49702
63	317	49311
64	318	48683
65	320	48301
66	321	47729
67	326	47677
68	329	47384
69	332	47096
70	334	46772
71	336	46437
72	341	46417
73	344	46145
74	345	45691
75	347	45400
76	350	45136
77	352	44852
78	356	44797
79	359	44583
80	361	44319
81	362	43824
82	364	43578
83	366	43310
84	368	43039
85	372	42980
86	375	42802
87	377	42571
88	380	42372
89	382	42123
90	384	41821
91	387	41741
92	388	41366
93	389	41092
94	392	40929
95	394	40682
96	396	40482
97	398	40280
98	401	40182
99	403	39956
100	406	39853
101	408	39664
102	409	39353
103	411	39199
104	413	38955
105	416	38870
106	418	38699
107	421	38566
108	423	38474
109	427	38419
110	428	38197
111	430	38036
112	433	37969
113	435	37768
114	438	37676
115	441	37586
116	444	37522
117	448	37599
118	451	37503
119	452	37296
120	456	37266
121	459	37244
122	464	37274
123	465	37068
124	468	37036
125	470	36834
126	474	36854
127	477	36843
128	480	36780
129	483	36707
130	486	36641
131	490	36634
132	494	36672
133	497	36604
134	500	36546
135	503	36553
136	505	36376
137	509	36386
138	512	36337
139	515	36286
140	519	36311
141	522	36245
142	526	36279
143	526	36065
144	529	36000
145	532	35973
146	536	35929
147	538	35865
148	541	35793
149	544	35735
150	548	35746
151	549	35619
152	551	35490
153	554	35478
154	555	35295
155	558	35261
156	561	35220
157	565	35238
158	568	35182
159	570	35108
160	574	35117
161	577	35069
162	581	35108
163	584	35063
164	589	35110
165	591	35063
166	596	35098
167	599	35056
168	604	35153
169	607	35155
170	611	35150
171	614	35139
172	619	35178
173	622	35168
174	626	35175
175	630	35180
176	634	35210
177	636	35114
178	639	35079
179	643	35115
180	650	35291
181	652	35187
182	657	35298
183	664	35471
184	669	35535
185	675	35658
186	682	35827
187	687	35898
188	691	35891
189	695	35910
190	698	35870
191	701	35821
192	703	35765
193	706	35706
194	707	35580
195	711	35573
196	713	35500
197	715	35422
198	717	35347
199	719	35269
200	721	35196
201	724	35122
202	727	35120
203	730	35060
204	732	34998
205	736	34996
206	738	34939
207	741	34916
208	744	34858
209	746	34785
210	748	34724
211	751	34681
212	753	34617
213	756	34581
214	758	34524
215	761	34476
216	764	34459
217	767	34425
218	770	34410
219	773	34373
220	775	34331
221	778	34282
222	781	34250
223	783	34204
224	785	34124
225	789	34122
226	791	34080
227	796	34131
228	800	34170
229	806	34272
230	809	34240
231	815	34314
232	819	34355
233	821	34305
234	824	34265
235	828	34265
236	830	34222
237	835	34249
238	837	34209
239	840	34190
240	841	34094
241	844	34066
242	848	34080
243	851	34058
244	854	34030
245	857	33982
246	859	33954
247	862	33931
248	867	33983
249	870	33953
250	872	33906
251	876	33895
252	880	33933
253	885	33969
254	886	33892
255	890	33889
256	892	33853
257	898	33934
258	901	33890
259	903	33839
260	906	33815
261	908	33764
262	912	33801
263	915	33767
264	918	33726
265	920	33696
266	922	33643
267	925	33625
268	929	33609
269	931	33574
270	934	33533
271	936	33504
272	939	33461
273	943	33492
274	946	33458
275	948	33425
276	951	33394
277	953	33349
278	957	33357
279	960	33325
280	962	33297
281	965	33257
282	967	33230
283	970	33185
284	974	33210
285	976	33179
286	979	33148
287	982	33119
288	984	33084
289	986	33039
290	989	33026
291	993	33022
292	995	32982
293	998	32952
294	1000	32922
295	1005	32970
296	1009	32969
297	1011	32940
298	1015	32935
299	1018	32946
300	1021	32928
301	1025	32916
302	1027	32883
303	1030	32862
304	1033	32849
305	1036	32850
306	1039	32813
307	1041	32771
308	1043	32727
309	1045	32692
310	1048	32678
311	1051	32657
312	1053	32614
313	1056	32574
314	1058	32533
315	1060	32493
316	1062	32450
317	1065	32431
318	1067	32407
319	1070	32370
320	1072	32331
321	1074	32297
322	1076	32255
323	1078	32221
324	1081	32210
325	1084	32184
326	1086	32146
327	1089	32112
328	1091	32074
329	1093	32036
330	1095	32015
331	1098	31979
332	1100	31942
333	1102	31904
334	1104	31875
335	1106	31838
336	1109	31802
337	1112	31790
338	1114	31762
339	1117	31750
340	1121	31756
341	1124	31744
342	1128	31775
343	1131	31755
344	1134	31740
345	1136	31720
346	1144	31829
347	1147	31817
348	1150	31802
349	1152	31781
350	1155	31772
351	1160	31798
352	1163	31804
353	1166	31776
354	1169	31768
